name,width,height,svg_bytes,webp_bytes
clover_10_1.webp,169,244,29254,3916
clover_10_2.webp,169,244,29254,3916
clover_2_1.webp,169,244,10149,1812
clover_2_2.webp,169,244,10149,1812
clover_3_1.webp,169,244,12532,2372
clover_3_2.webp,169,244,12532,2372
clover_4_1.webp,169,244,14924,2314
clover_4_2.webp,169,244,14924,2314
clover_5_1.webp,169,244,17301,2820
clover_5_2.webp,169,244,17301,2820
clover_6_1.webp,169,244,19693,3072
clover_6_2.webp,169,244,19693,3072
clover_7_1.webp,169,244,22083,2916
clover_7_2.webp,169,244,22083,2916
clover_8_1.webp,169,244,24466,3388
clover_8_2.webp,169,244,24466,3388
clover_9_1.webp,169,244,26852,3470
clover_9_2.webp,169,244,26852,3470
clover_a_1.webp,169,244,7721,1866
clover_a_2.webp,169,244,7721,1866
clover_j_1.webp,169,244,7254,2744
clover_j_2.webp,169,244,7254,2744
clover_k_1.webp,169,244,13710,11478
clover_k_2.webp,169,244,13710,11478
clover_q_1.webp,169,244,12544,10374
clover_q_2.webp,169,244,12544,10374
diamond_10_1.webp,169,244,18670,3738
diamond_10_2.webp,169,244,18670,3738
diamond_2_1.webp,169,244,6645,1970
diamond_2_2.webp,169,244,6645,1970
diamond_3_1.webp,169,244,8143,2370
diamond_3_2.webp,169,244,8143,2370
diamond_4_1.webp,169,244,9650,2334
diamond_4_2.webp,169,244,9650,2334
diamond_5_1.webp,169,244,11142,2766
diamond_5_2.webp,169,244,11142,2766
diamond_6_1.webp,169,244,12649,3090
diamond_6_2.webp,169,244,12649,3090
diamond_7_1.webp,169,244,14154,2924
diamond_7_2.webp,169,244,14154,2924
diamond_8_1.webp,169,244,15652,3384
diamond_8_2.webp,169,244,15652,3384
diamond_9_1.webp,169,244,17144,3510
diamond_9_2.webp,169,244,17144,3510
diamond_a_1.webp,169,244,5118,2018
diamond_a_2.webp,169,244,5118,2018
diamond_j_1.webp,169,244,5520,3052
diamond_j_2.webp,169,244,5520,3052
diamond_k_1.webp,169,244,11976,11596
diamond_k_2.webp,169,244,11976,11596
diamond_q_1.webp,169,244,10810,10532
diamond_q_2.webp,169,244,10810,10532
heart_10_1.webp,169,244,21036,4032
heart_10_2.webp,169,244,21036,4032
heart_2_1.webp,169,244,7387,2178
heart_2_2.webp,169,244,7387,2178
heart_3_1.webp,169,244,9088,2578
heart_3_2.webp,169,244,9088,2578
heart_4_1.webp,169,244,10798,2504
heart_4_2.webp,169,244,10798,2504
heart_5_1.webp,169,244,12493,2924
heart_5_2.webp,169,244,12493,2924
heart_6_1.webp,169,244,14203,3252
heart_6_2.webp,169,244,14203,3252
heart_7_1.webp,169,244,15911,3148
heart_7_2.webp,169,244,15911,3148
heart_8_1.webp,169,244,17612,3640
heart_8_2.webp,169,244,17612,3640
heart_9_1.webp,169,244,19307,3814
heart_9_2.webp,169,244,19307,3814
heart_a_1.webp,169,244,5622,2238
heart_a_2.webp,169,244,5622,2238
heart_j_1.webp,169,244,5781,2828
heart_j_2.webp,169,244,5781,2828
heart_k_1.webp,169,244,12312,11690
heart_k_2.webp,169,244,12312,11690
heart_q_1.webp,169,244,11146,10606
heart_q_2.webp,169,244,11146,10606
o_o_1.webp,169,244,365,1592
o_o_2.webp,169,244,365,1592
o_o_3.webp,169,244,365,1592
o_o_4.webp,169,244,365,1592
spade_10_1.webp,169,244,28648,3682
spade_10_2.webp,169,244,28648,3682
spade_2_1.webp,169,244,9975,1694
spade_2_2.webp,169,244,9975,1694
spade_3_1.webp,169,244,12304,2036
spade_3_2.webp,169,244,12304,2036
spade_4_1.webp,169,244,14642,2062
spade_4_2.webp,169,244,14642,2062
spade_5_1.webp,169,244,16965,2600
spade_5_2.webp,169,244,16965,2600
spade_6_1.webp,169,244,19303,2876
spade_6_2.webp,169,244,19303,2876
spade_7_1.webp,169,244,21639,2800
spade_7_2.webp,169,244,21639,2800
spade_8_1.webp,169,244,23968,3206
spade_8_2.webp,169,244,23968,3206
spade_9_1.webp,169,244,26291,3338
spade_9_2.webp,169,244,26291,3338
spade_a_1.webp,169,244,7620,1760
spade_a_2.webp,169,244,7620,1760
spade_j_1.webp,169,244,7113,2426
spade_j_2.webp,169,244,7113,2426
spade_k_1.webp,169,244,13644,11298
spade_k_2.webp,169,244,13644,11298
spade_q_1.webp,169,244,12478,10206
spade_q_2.webp,169,244,12478,10206
